"data","memoria","cpu"
"01/20/2021 10:13:18","88.1","0.0"
"01/20/2021 10:13:48","86.2","5.8"
"01/20/2021 10:14:18","87.4","6.0"
"01/20/2021 10:14:48","86.1","7.1"
"01/20/2021 10:15:18","87.2","10.7"
"01/20/2021 10:15:48","87.1","16.5"
"01/20/2021 10:16:18","86.6","6.4"
"01/20/2021 10:16:48","86.5","16.3"
"01/20/2021 10:17:18","86.4","7.8"
"01/20/2021 10:17:48","86.2","15.8"
"01/20/2021 10:18:18","86.5","17.8"
"01/20/2021 10:18:48","87.0","20.2"
"01/20/2021 10:19:18","84.8","18.0"
"01/20/2021 10:19:48","84.9","19.0"
"01/20/2021 10:20:18","84.8","15.6"
"01/20/2021 10:20:48","85.2","19.1"
"01/20/2021 10:21:18","85.2","16.6"
"01/20/2021 10:21:48","86.3","37.2"
"01/20/2021 10:22:18","84.8","27.0"
"01/20/2021 10:22:48","84.5","17.8"
"01/20/2021 10:23:18","84.8","20.1"
"01/20/2021 10:23:48","84.7","21.6"
"01/20/2021 10:24:18","84.4","17.7"
"01/20/2021 10:24:48","84.5","18.7"
"01/20/2021 10:25:18","83.8","13.2"
"01/20/2021 10:25:48","84.0","15.9"
"01/20/2021 10:26:18","84.0","15.1"
"01/20/2021 10:26:48","83.9","23.7"
"01/20/2021 10:27:18","83.6","14.7"
"01/20/2021 10:27:48","83.6","12.4"
"01/20/2021 10:28:19","83.7","14.5"
"01/20/2021 10:28:49","83.6","10.9"
"01/20/2021 10:29:19","83.9","15.5"
"01/20/2021 10:29:49","84.0","17.9"
"01/20/2021 10:30:19","83.8","10.5"
"01/20/2021 10:30:49","83.8","12.9"
"01/20/2021 10:31:19","83.8","8.4"
"01/20/2021 10:31:49","84.1","14.2"
"01/20/2021 10:32:19","84.2","10.0"
"01/20/2021 10:32:49","84.0","13.8"
"01/20/2021 10:33:19","83.8","10.0"
"01/20/2021 10:33:49","83.9","14.2"
"01/20/2021 10:34:19","83.8","8.8"
"01/20/2021 10:34:49","83.8","19.8"
"01/20/2021 10:35:19","83.7","21.3"
"01/20/2021 10:35:49","83.1","13.2"
"01/20/2021 10:36:19","83.0","11.4"
"01/20/2021 10:36:49","83.1","22.0"
"01/20/2021 10:37:19","85.0","18.8"
"01/20/2021 10:37:49","83.9","13.9"
"01/20/2021 10:38:19","83.8","20.3"
"01/20/2021 10:38:49","84.3","18.3"
"01/20/2021 10:39:19","84.0","16.0"
"01/20/2021 10:39:49","83.6","17.0"
"01/20/2021 10:40:19","83.6","15.2"
"01/20/2021 10:40:49","83.8","21.7"
"01/20/2021 10:41:19","84.0","29.8"
"01/20/2021 10:41:49","83.8","20.3"
"01/20/2021 10:42:19","83.5","13.8"
"01/20/2021 10:42:49","83.9","13.9"
"01/20/2021 10:43:19","83.9","14.0"
"01/20/2021 10:43:49","83.6","13.7"
"01/20/2021 10:44:19","83.6","9.7"
"01/20/2021 10:44:49","83.4","14.6"
"01/20/2021 10:45:19","84.8","12.3"
"01/20/2021 10:45:50","85.0","10.0"
"01/20/2021 10:46:20","84.6","12.8"
"01/20/2021 10:46:50","85.4","11.6"
"01/20/2021 10:47:20","85.9","17.1"
"01/20/2021 10:47:50","85.1","15.1"
"01/20/2021 10:48:20","84.9","9.0"
"01/20/2021 10:48:50","84.9","7.5"
"01/20/2021 10:49:20","84.9","5.7"
"01/20/2021 10:49:50","85.0","7.5"
"01/20/2021 10:50:20","84.8","6.0"
"01/20/2021 10:50:50","85.1","8.1"
"01/20/2021 10:51:20","84.9","5.7"
"01/20/2021 10:51:50","84.9","8.3"
"01/20/2021 10:52:20","84.8","5.1"
"01/20/2021 10:52:50","85.3","7.7"
"01/20/2021 10:53:20","85.7","5.7"
"01/20/2021 10:53:50","85.4","7.7"
"01/20/2021 10:54:20","85.4","5.6"
"01/20/2021 10:54:50","85.4","7.6"
"01/20/2021 10:55:20","85.4","5.4"
"01/20/2021 10:55:50","85.7","9.1"
"01/20/2021 10:56:20","85.5","5.7"
"01/20/2021 10:56:50","86.9","9.6"
"01/20/2021 10:57:20","85.5","11.5"
"01/20/2021 10:57:50","70.6","19.4"
"01/20/2021 10:58:20","70.8","18.6"
"01/20/2021 10:58:50","70.4","12.9"
"01/20/2021 10:59:20","70.8","13.0"
"01/20/2021 10:59:50","70.3","11.8"
"01/20/2021 11:00:20","70.7","12.3"
"01/20/2021 11:00:50","70.6","16.1"
"01/20/2021 11:01:20","70.8","10.0"
"01/20/2021 11:01:50","70.9","9.4"
"01/20/2021 11:02:20","72.1","21.8"
"01/20/2021 11:02:50","72.5","15.8"
"01/20/2021 11:03:21","72.4","11.0"
"01/20/2021 11:03:51","72.5","9.2"
"01/20/2021 11:04:21","72.4","10.8"
"01/20/2021 11:04:51","72.4","8.3"
"01/20/2021 11:05:21","72.8","10.5"
"01/20/2021 11:05:51","72.9","18.7"
"01/20/2021 11:06:21","72.4","10.9"
"01/20/2021 11:06:51","72.7","9.8"
"01/20/2021 11:07:21","72.3","9.8"
"01/20/2021 11:07:51","76.2","20.2"
"01/20/2021 11:08:21","74.7","12.9"
"01/20/2021 11:08:51","74.6","11.9"
"01/20/2021 11:09:21","75.1","14.4"
"01/20/2021 11:09:51","75.2","23.8"
"01/20/2021 11:10:21","75.1","19.5"
"01/20/2021 11:10:51","75.2","16.8"
"01/20/2021 11:11:21","74.9","19.0"
"01/20/2021 11:11:51","74.5","17.9"
"01/20/2021 11:12:21","74.9","17.2"
"01/20/2021 11:12:51","74.9","17.9"
"01/20/2021 11:13:21","74.8","7.9"
"01/20/2021 11:13:51","74.6","9.9"
"01/20/2021 11:14:21","74.4","8.6"
"01/20/2021 11:14:51","74.6","10.5"
"01/20/2021 11:15:21","74.7","10.1"
"01/20/2021 11:15:51","75.3","13.6"
"01/20/2021 11:16:21","74.6","8.5"
"01/20/2021 11:16:51","74.8","6.6"
"01/20/2021 11:17:21","74.7","9.9"
"01/20/2021 11:17:51","74.8","7.7"
"01/20/2021 11:18:21","75.0","8.2"
"01/20/2021 11:18:51","74.8","9.9"
"01/20/2021 11:19:21","74.8","8.5"
